Toode;Maht_ml;Protsent;Etanool;Etanool/€;Pood;Hind;Uuendatud;Link
Hardys Nottage Hill Chardonnay GT vein 13,5%vol 1,5 l;1500.0;13.5;202.5;17.367;Hinnapomm;11.66;2025-11-12 07:18:00;https://ostukorvid.ee/tooted/b616992c-8539-40b7-97b3-cfb01c832e75/hardys-nottage-hill-chardonnay-gt-vein-135percentvol-15-l
Prince Henry Demi Sec vahuvein 11% 750 ml;750.0;11.0;82.5;17.223;Prisma;4.79;2022-03-03 15:12:00;https://ostukorvid.ee/tooted/371e3d34-96b1-430e-95c2-a9efbd4d87b9/prince-henry-demi-sec-vahuvein-11percent-750-ml
Valge vein Branco JMF 12,5% 0,75 L;750.0;12.5;93.75;17.045;Sumena;5.5;2025-11-12 07:16:00;https://ostukorvid.ee/tooted/472a3dc7-a86c-44ce-946f-3edd771feadc/valge-vein-branco-jmf-125percent-075-l
Kaitstud päritolunimetusega vein St. Gabriel Riesling 12%vol 0,75l;750.0;12.0;90.0;17.013;Rimi;5.29;2025-11-12 08:17:00;https://ostukorvid.ee/tooted/0f60e8e5-a5d5-4fbc-b904-47325f887886/kaitstud-paritolunimetusega-vein-st-gabriel-riesling-12percentvol-075l
Dreamer Late Harvest Cabernet Sauvignon vein 12,5%vol 750ml;750.0;12.5;93.75;16.652;Hinnapomm;5.63;2025-11-12 07:25:00;https://ostukorvid.ee/tooted/0ca7cf83-0ddb-48fd-bd74-114a1d712792/dreamer-late-harvest-cabernet-sauvignon-vein-125percentvol-750ml
Il Capolavoro Pinot Grigio vein 12,5%vol 2,25L;2250.0;12.5;281.25;16.554;Prisma;16.99;2025-04-16 15:23:00;https://ostukorvid.ee/tooted/130bbedf-e0f5-46c8-88e5-aa47c60caf20/il-capolavoro-pinot-grigio-vein-125percentvol-225l
Wõlu Glögi hõõgvein, aromatiseeritud puuviljavein 14%vol 750ml;750.0;14.0;105.0;16.432;Rimi;6.39;2025-11-12 08:15:00;https://ostukorvid.ee/tooted/103debac-bb9a-4d62-beb4-a0213e6387fb/wolu-glogi-hoogvein-aromatiseeritud-puuviljavein-14percentvol-750ml
Valge vein Grüner Veltliner Seewinkel BIB 12,5% 3L;3000.0;12.5;375.0;16.383;Prisma;22.89;2025-04-16 15:23:00;https://ostukorvid.ee/tooted/cbfee95c-81f9-404b-8e3c-832484bd54f4/valge-vein-gruner-veltliner-seewinkel-bib-125percent-3l
Vein Kagor Pastoral 13,5%vol 0,75l;750.0;13.5;101.25;16.357;Rimi;6.19;2025-11-12 09:13:00;https://ostukorvid.ee/tooted/ae91141a-e703-4a97-9f4b-3596f146089d/vein-kagor-pastoral-135percentvol-075l
BLOSSA Glögg 2024 15% 75cl (klaas);750.0;15.0;112.5;16.328;Kaupmees;6.89;2025-11-12 06:09:00;https://ostukorvid.ee/tooted/2c7051a4-4550-4a32-84e2-057ae3318408/blossa-glogg-2024-15percent-75cl-klaas
