Toode;Maht_ml;Protsent;Etanool;Etanool/€;Pood;Hind;Uuendatud;Link
Somersby Blackberry siider 4.5% 1L;1000.0;4.5;45.0;13.846;Coop;3.25;2025-11-12 05:50:00;https://ostukorvid.ee/tooted/a9d548e2-b930-48fa-9a58-fa18e8096bd6/somersby-blackberry-siider-45percent-1l
Tanker siider 5.5% vol 0.5L;500.0;5.5;27.5;13.819;Prisma;1.99;2025-04-16 14:49:00;https://ostukorvid.ee/tooted/ef90bfbf-dbc2-4e15-9d16-b6427f31fff1/tanker-siider-55percent-vol-05l
Siider Tanker õunasiider 5,5%vol 0,5l prk;500.0;5.5;27.5;13.819;Rimi;1.99;2025-11-12 07:50:00;https://ostukorvid.ee/tooted/d927331c-14b8-4f41-921c-013c47ae46c3/siider-tanker-ounasiider-55percentvol-05l-prk
Siider Fizz mustika 4,5% 0,5l;500.0;4.5;22.5;13.636;Rimi;1.65;2025-11-12 08:47:00;https://ostukorvid.ee/tooted/4c272f11-2321-45c5-9eab-cb5f8ff95286/siider-fizz-mustika-45percent-05l
Tanker siider 5.5% vol 0.5L;500.0;5.5;27.5;13.221;Selver;2.08;2025-11-12 03:49:00;https://ostukorvid.ee/tooted/ef90bfbf-dbc2-4e15-9d16-b6427f31fff1/tanker-siider-55percent-vol-05l
SOMERSBY Siider Pear 4,5% 100cl (pet);1000.0;4.5;45.0;13.158;Kaupmees;3.42;2025-11-12 05:49:00;https://ostukorvid.ee/tooted/389784a7-5e4d-4e01-8f10-5a20a6adbcef/somersby-siider-pear-45percent-100cl-pet
Somersby Blackberry siider 4.5% 1L;1000.0;4.5;45.0;12.894;Rimi;3.49;2025-11-12 08:50:00;https://ostukorvid.ee/tooted/a9d548e2-b930-48fa-9a58-fa18e8096bd6/somersby-blackberry-siider-45percent-1l
Siider Saku Antvärk Karge Õun 5,8%vol 0,5l;500.0;5.8;29.0;12.889;Rimi;2.25;2025-11-12 08:45:00;https://ostukorvid.ee/tooted/fecf886d-d28e-4988-a92a-f7f52341be2d/siider-saku-antvark-karge-oun-58percentvol-05l
SAKU Siider Antvärk Karge Õun 5,8% 50cl (purk);500.0;5.8;29.0;12.775;Kaupmees;2.27;2025-11-12 05:49:00;https://ostukorvid.ee/tooted/def67087-084f-4b9a-8673-b3ee01a72984/saku-siider-antvark-karge-oun-58percent-50cl-purk
SOMERSBY Siider Apple Sparkling 4,5% 50cl (purk);500.0;4.5;22.5;12.712;Hinnapomm;1.77;2025-11-12 07:50:00;https://ostukorvid.ee/tooted/e48a0858-d9d6-4ac2-a42b-9aac99955c1d/somersby-siider-apple-sparkling-45percent-50cl-purk
Siider SOMERSBY Pear 4.5% 1L PET;1000.0;4.5;45.0;12.676;Maxima;3.55;2025-11-12 05:45:00;https://ostukorvid.ee/tooted/7fa6968d-0188-4d2d-b133-d3a7f81bf877/siider-somersby-pear-45percent-1l-pet
Somersby Blackberry siider 4.5% 1L;1000.0;4.5;45.0;12.676;Maxima;3.55;2025-11-12 05:50:00;https://ostukorvid.ee/tooted/a9d548e2-b930-48fa-9a58-fa18e8096bd6/somersby-blackberry-siider-45percent-1l
Siider Somersby Blueberry&Lemon Light 4,5%vol 0,5l purk;500.0;4.5;22.5;12.57;Rimi;1.79;2025-11-12 07:50:00;https://ostukorvid.ee/tooted/bbed0903-167d-4176-b831-d2fc2e856e8d/siider-somersby-blueberryandlemon-light-45percentvol-05l-purk
Siider SIP pirnimaitseline 5% 500ml prk;500.0;5.0;25.0;12.563;Maxima;1.99;2025-11-12 05:46:00;https://ostukorvid.ee/tooted/d3703644-abd3-485e-9a61-ce4631e9d434/siider-sip-pirnimaitseline-5percent-500ml-prk
Siider Ashton õuna maits. SIP 5% 500ml;500.0;5.0;25.0;12.563;Maxima;1.99;2025-11-12 05:48:00;https://ostukorvid.ee/tooted/ffdf5951-fe68-47a3-8781-9281727d891a/siider-ashton-ouna-maits-sip-5percent-500ml
CROWMOOR DRY APPLE 4,7% 330 ML SIIDER;330.0;4.7;15.51;12.408;Coop;1.25;2025-11-12 05:45:00;https://ostukorvid.ee/tooted/f00903cc-f332-4ee6-be05-660ae28d3e23/crowmoor-dry-apple-47percent-330-ml-siider
Hoggys Dry Apple siider 4.5% vol 12*0.355L;4260.0;4.5;191.7;11.989;Rimi;15.99;2024-07-20 14:47:00;https://ostukorvid.ee/tooted/ab5a1272-7380-4728-8d13-a2f25ee59a39/hoggys-dry-apple-siider-45percent-vol-120355l
Siider FIZZ Pear 4.5% 500ml;500.0;4.5;22.5;11.905;Maxima;1.89;2025-11-12 05:48:00;https://ostukorvid.ee/tooted/8a33dc3f-0710-4ee0-a082-8a9774c4b2ab/siider-fizz-pear-45percent-500ml
Karksi Õunasiider 5% 0.5L;500.0;5.0;25.0;11.628;Kaupmees;2.15;2025-11-12 05:48:00;https://ostukorvid.ee/tooted/8f52a603-55bf-4af7-a62c-d7d93ca4b97a/karksi-ounasiider-5percent-05l
Siider SOMERSBY mustik&sidrun 4.5% 500ml;500.0;4.5;22.5;11.538;Maxima;1.95;2025-11-12 05:45:00;https://ostukorvid.ee/tooted/779aefc3-78e1-48a4-8793-82f3e9c2ea5b/siider-somersby-mustikandsidrun-45percent-500ml
